"To calculate shipping we need items, store and destination postal code.","Para calcular o envio, precisamos de itens e código o postal da loja e do destinatário."
"Something went wrong trying to generate data to calculate the shipping value.","Algo deu errado ao tentar gerar dados para calcular o valor do frete."
"This shipping method is not available. To use this shipping method, please contact us.","Este método de pagamento náo est[a disponível. Para usar este método, entre com contato conosco."
"Please type a full url with a slash (/) as the last character.","Por favor, digite uma url completa com uma barra como último caractere."
"Delivery time (in days)","Prazo de entrega (em dias)"
"Something went wrong over the API request.","Algo deu errado com a solicitação da API."
"Cannot found the quote total amount.","Não foi possível localizar o total da cotação."
"Items not found to get total amount.","Itens não encontrados para obter o total da cotação."
"Cannot get params to do the api request.","Não foi possível obter os parâmetros para efetuar a requisição com a API"
"Store postal code not found.","Código postal da loja não encontrado."
